port_operation_id,port_id,vessel_id,arrival_time,departure_time,waiting_hours,turnaround_hours,congestion_level,cargo_handled_tons
7298,4,VSL-8132,2025-09-15,2025-09-15,0.36,24.39,1,42.14
7299,4,VSL-2225,2024-04-15,2024-04-15,1.53,12.97,5,65.33
7300,6,VSL-6739,2024-09-02,2024-09-02,0.9,30.35,3,78.66
7301,5,VSL-4861,2025-09-07,2025-09-07,0.19,19.32,1,68.46
7302,9,VSL-2415,2025-07-20,2025-07-20,0.61,36.27,3,61.03
7303,3,VSL-1121,2025-12-03,2025-12-03,0.36,26.74,4,86.09
7304,3,VSL-5119,2025-02-01,2025-02-01,0.79,36.34,5,45.32
7305,5,VSL-9243,2024-03-13,2024-03-13,6.59,42.33,5,61.02
7306,11,VSL-7754,2025-07-08,2025-07-08,1.45,41.96,4,45.96
7307,7,VSL-1480,2024-03-30,2024-03-30,2.47,14.04,3,61.03
7308,12,VSL-7241,2025-12-10,2025-12-10,2.35,30.56,2,64.52
7309,6,VSL-6015,2026-01-02,2026-01-02,0.46,46.86,2,69.88
7310,4,VSL-9438,2024-03-27,2024-03-27,3.38,38.29,3,51.32
7311,3,VSL-9380,2024-05-23,2024-05-23,7.57,47.51,5,15.08
7312,6,VSL-5188,2026-01-12,2026-01-12,1.29,27.25,4,46.36
7313,7,VSL-4624,2025-03-27,2025-03-27,3.78,32.6,2,47.59
7314,3,VSL-5820,2025-11-21,2025-11-21,0.16,35.03,2,69.82
7315,8,VSL-2250,2024-04-03,2024-04-03,1.28,8.49,1,96.86
7316,5,VSL-1136,2024-06-09,2024-06-09,4.91,15.8,3,52.9
7317,6,VSL-4105,2024-04-23,2024-04-23,6.09,27.09,4,49.02
7318,5,VSL-3054,2024-04-30,2024-04-30,2.07,17.06,4,62.72
7319,11,VSL-8609,2024-07-28,2024-07-28,8.56,7.97,3,61.62
7320,2,VSL-5667,2025-02-25,2025-02-25,3.96,8.81,3,90.01
7321,8,VSL-8102,2025-03-05,2025-03-05,4.75,44.17,2,67.83
7322,12,VSL-9418,2025-02-04,2025-02-04,0.92,31.2,2,58.88
7323,4,VSL-8998,2026-03-18,2026-03-18,3.85,19.3,4,59.61
7324,9,VSL-7832,2024-05-21,2024-05-21,0.28,44.48,5,59.21
7325,8,VSL-5638,2025-09-10,2025-09-10,0.15,11.53,3,64.97
7326,2,VSL-3018,2024-12-27,2024-12-27,0.39,31.96,3,56.44
7327,1,VSL-3461,2025-07-12,2025-07-12,0.77,29.41,1,80.16
7328,1,VSL-8510,2025-06-14,2025-06-14,3.02,31.38,3,60.23
7329,6,VSL-7231,2024-03-20,2024-03-20,4.83,10.22,5,18.31
7330,2,VSL-6527,2025-09-22,2025-09-22,5.18,26.4,3,78.49
7331,10,VSL-1709,2024-02-20,2024-02-20,0.12,43.33,4,42.44
7332,11,VSL-5679,2024-07-17,2024-07-17,0.24,34.2,2,9.7
7333,8,VSL-3276,2024-03-28,2024-03-28,0.67,10.41,2,46.12
7334,10,VSL-2595,2025-10-16,2025-10-16,3.7,23.95,4,75.57
7335,11,VSL-3497,2025-08-30,2025-08-30,1.93,35.64,4,29.39
7336,5,VSL-4646,2026-03-20,2026-03-20,1.61,38.73,2,54.09
7337,11,VSL-4950,2025-09-26,2025-09-26,1.39,23.47,4,39.36
7338,10,VSL-9864,2025-06-02,2025-06-02,2.79,14.8,3,50.75
7339,8,VSL-8169,2024-06-11,2024-06-11,5.7,18.59,4,28.66
7340,3,VSL-3133,2025-02-05,2025-02-05,0.08,28.79,2,54.72
7341,7,VSL-9339,2024-12-03,2024-12-03,0.72,12.66,2,32.71
7342,6,VSL-1380,2024-10-05,2024-10-05,3.06,30.79,1,55.47
7343,10,VSL-5894,2024-11-13,2024-11-13,1.8,27.67,3,50.44
7344,11,VSL-9420,2025-08-25,2025-08-25,2.07,44.74,2,25.22
7345,3,VSL-4579,2024-01-12,2024-01-12,0.8,32.69,1,17.08
7346,2,VSL-2236,2024-03-28,2024-03-28,3.06,14.54,4,52.59
7347,11,VSL-6531,2025-08-29,2025-08-29,2.65,22.03,5,54.58
7348,9,VSL-4916,2025-08-13,2025-08-13,3.68,18.39,3,58.48
7349,9,VSL-1097,2025-09-02,2025-09-02,2.36,27.45,3,17.89
7350,10,VSL-7706,2025-10-28,2025-10-28,2.77,40.12,2,75.86
7351,12,VSL-3930,2025-09-01,2025-09-01,0.26,17.03,4,49.76
7352,1,VSL-8009,2026-01-31,2026-01-31,0.59,7.9,1,53.57
7353,3,VSL-6245,2025-06-03,2025-06-03,6.34,29.43,1,52.7
7354,12,VSL-3870,2024-03-23,2024-03-23,0.5,29.75,4,1.0
7355,6,VSL-9750,2024-10-07,2024-10-07,3.53,12.7,1,56.57
7356,10,VSL-2200,2024-03-27,2024-03-27,2.09,12.28,2,45.48
7357,8,VSL-9199,2026-03-18,2026-03-18,3.8,16.06,5,31.3
7358,9,VSL-2646,2024-07-14,2024-07-14,1.86,6.74,1,71.71
7359,4,VSL-6585,2025-10-27,2025-10-27,0.0,34.63,4,31.31
7360,2,VSL-1871,2025-07-20,2025-07-20,0.12,14.9,4,73.92
7361,6,VSL-6535,2024-02-19,2024-02-19,5.6,33.12,4,59.85
7362,10,VSL-5434,2025-06-06,2025-06-06,0.61,34.2,3,55.8
7363,10,VSL-2336,2024-05-24,2024-05-24,10.03,24.31,4,36.32
7364,9,VSL-3950,2025-02-11,2025-02-11,1.43,28.44,4,13.49
7365,10,VSL-8534,2025-07-24,2025-07-24,0.35,28.41,4,71.14
7366,10,VSL-9169,2025-09-25,2025-09-25,1.99,26.57,3,36.08
7367,8,VSL-5186,2024-12-25,2024-12-25,1.24,15.24,2,61.13
7368,4,VSL-2546,2025-10-05,2025-10-05,1.74,29.03,4,62.26
7369,2,VSL-2513,2025-12-26,2025-12-26,5.3,21.42,3,22.62
7370,5,VSL-8609,2024-01-23,2024-01-23,2.41,38.9,4,56.36
7371,12,VSL-5920,2024-11-02,2024-11-02,3.14,29.75,5,45.42
7372,1,VSL-4704,2024-04-04,2024-04-04,1.96,39.66,3,58.51
7373,6,VSL-2419,2024-01-11,2024-01-11,0.06,15.03,2,65.87
7374,12,VSL-2155,2024-08-08,2024-08-08,1.49,36.66,2,42.84
7375,1,VSL-5384,2025-12-21,2025-12-21,0.4,42.5,3,37.73
7376,5,VSL-9555,2025-11-22,2025-11-22,1.44,21.9,1,43.22
7377,3,VSL-9386,2024-11-13,2024-11-13,0.33,29.52,1,45.44
7378,10,VSL-5168,2025-08-11,2025-08-11,3.11,19.15,2,64.28
7379,1,VSL-8556,2025-01-14,2025-01-14,1.37,13.43,3,82.36
7380,2,VSL-7614,2026-03-14,2026-03-14,0.6,35.03,1,89.87
7381,1,VSL-5825,2024-03-21,2024-03-21,6.79,31.72,4,38.39
7382,9,VSL-1915,2024-07-19,2024-07-19,2.0,43.0,2,88.95
7383,7,VSL-2636,2025-07-06,2025-07-06,0.4,40.18,2,64.5
7384,9,VSL-5099,2026-03-19,2026-03-19,3.91,35.13,1,13.8
7385,11,VSL-8480,2024-11-10,2024-11-10,0.07,44.89,2,36.09
7386,4,VSL-5559,2024-11-22,2024-11-22,1.8,15.31,4,68.31
7387,12,VSL-8510,2024-11-22,2024-11-22,1.33,29.87,4,70.51
7388,3,VSL-1289,2024-05-24,2024-05-24,0.17,30.9,2,18.61
7389,6,VSL-9036,2026-02-26,2026-02-26,1.94,39.41,2,31.3
7390,10,VSL-6655,2025-02-26,2025-02-26,5.11,25.41,2,78.59
7391,7,VSL-4893,2024-12-28,2024-12-28,0.66,34.54,3,44.71
7392,7,VSL-9449,2026-03-31,2026-03-31,0.32,10.15,3,55.69
7393,2,VSL-4132,2025-03-21,2025-03-21,3.05,42.21,3,36.49
7394,6,VSL-9126,2024-10-14,2024-10-14,3.36,43.35,1,64.15
7395,6,VSL-2057,2024-05-15,2024-05-15,0.65,32.37,2,32.92
7396,4,VSL-1224,2025-08-20,2025-08-20,1.89,7.86,4,72.77
7397,1,VSL-6067,2024-09-13,2024-09-13,0.05,42.78,5,32.83
7398,11,VSL-6556,2025-11-09,2025-11-09,0.04,36.66,3,39.69
7399,6,VSL-1760,2024-06-01,2024-06-01,1.12,7.66,4,15.16
7400,6,VSL-1113,2024-02-28,2024-02-28,3.81,22.37,1,72.8
7401,8,VSL-2825,2025-02-09,2025-02-09,2.66,27.04,4,69.41
7402,4,VSL-7232,2025-03-07,2025-03-07,4.07,27.09,1,24.53
7403,8,VSL-8292,2025-03-02,2025-03-02,2.81,31.2,2,44.77
7404,8,VSL-7734,2025-04-12,2025-04-12,3.04,10.58,4,43.1
7405,11,VSL-7303,2025-12-25,2025-12-25,0.87,21.42,1,41.44
7406,2,VSL-9845,2024-10-10,2024-10-10,0.24,43.62,1,90.06
7407,2,VSL-8285,2024-04-09,2024-04-09,0.62,38.68,2,41.19
7408,1,VSL-6537,2024-02-10,2024-02-10,1.33,43.29,2,33.83
7409,7,VSL-9904,2024-06-16,2024-06-16,2.62,37.82,1,40.16
7410,9,VSL-7029,2025-11-14,2025-11-14,1.33,22.35,1,45.35
7411,3,VSL-2019,2025-08-12,2025-08-12,1.26,26.56,4,62.5
7412,5,VSL-9813,2024-11-03,2024-11-03,0.12,10.47,2,72.71
7413,4,VSL-6089,2026-02-05,2026-02-05,0.68,23.37,2,30.0
7414,6,VSL-4211,2024-07-02,2024-07-02,0.14,26.16,4,58.28
7415,9,VSL-4810,2024-08-12,2024-08-12,1.74,46.35,4,72.49
7416,10,VSL-7500,2024-01-13,2024-01-13,0.22,40.01,4,74.26
7417,9,VSL-1688,2024-09-12,2024-09-12,2.63,37.32,4,42.14
7418,6,VSL-4083,2025-09-08,2025-09-08,3.73,46.55,4,45.5
7419,9,VSL-9207,2024-01-09,2024-01-09,2.05,43.14,3,37.97
7420,8,VSL-2934,2025-03-10,2025-03-10,0.27,16.0,2,51.38
7421,1,VSL-6218,2026-01-02,2026-01-02,0.95,9.25,4,48.12
7422,7,VSL-1551,2024-03-12,2024-03-12,0.5,47.15,5,66.05
7423,10,VSL-6626,2024-12-25,2024-12-25,2.7,36.2,5,40.44
7424,1,VSL-7986,2024-03-06,2024-03-06,1.53,15.48,3,53.46
7425,12,VSL-3562,2024-02-13,2024-02-13,0.26,28.01,3,64.73
7426,6,VSL-3683,2024-06-08,2024-06-08,2.15,29.64,3,76.57
7427,9,VSL-1358,2025-07-08,2025-07-08,1.23,7.04,2,45.54
7428,4,VSL-7429,2024-02-02,2024-02-02,1.82,27.88,1,70.58
7429,1,VSL-5574,2024-07-10,2024-07-10,0.67,39.44,4,46.78
7430,11,VSL-8890,2026-03-06,2026-03-06,2.36,46.84,4,85.27
7431,8,VSL-9934,2025-05-07,2025-05-07,1.39,8.85,5,20.5
7432,4,VSL-3559,2024-10-18,2024-10-18,5.28,25.24,5,46.71
7433,12,VSL-8974,2025-09-14,2025-09-14,10.28,27.12,1,32.86
7434,6,VSL-6550,2025-10-11,2025-10-11,1.09,9.2,4,59.84
7435,8,VSL-3940,2025-01-18,2025-01-18,0.27,10.75,3,35.88
7436,3,VSL-6950,2025-08-05,2025-08-05,2.04,28.33,5,65.13
7437,8,VSL-4404,2024-05-28,2024-05-28,8.53,24.24,5,26.43
7438,2,VSL-2113,2025-07-20,2025-07-20,0.35,17.88,2,57.04
7439,6,VSL-7677,2025-05-08,2025-05-08,3.23,40.6,1,4.38
7440,11,VSL-4166,2025-11-06,2025-11-06,0.25,47.39,5,50.31
7441,10,VSL-3933,2025-04-03,2025-04-03,0.87,21.04,4,35.8
7442,9,VSL-9282,2025-03-06,2025-03-06,0.67,38.24,3,63.04
7443,12,VSL-3862,2025-03-26,2025-03-26,5.56,35.96,3,77.35
7444,7,VSL-5850,2025-11-15,2025-11-15,0.2,38.46,1,47.19
7445,3,VSL-2517,2024-03-14,2024-03-14,3.01,33.3,4,58.67
7446,7,VSL-5801,2026-03-05,2026-03-05,0.43,26.99,2,62.24
7447,12,VSL-8934,2026-01-08,2026-01-08,0.07,16.72,4,31.78
7448,1,VSL-6159,2026-02-11,2026-02-11,2.23,21.23,2,31.68
7449,12,VSL-2679,2025-03-27,2025-03-27,0.35,10.5,1,30.06
7450,1,VSL-6484,2025-08-05,2025-08-05,2.89,17.86,2,57.17
7451,3,VSL-7321,2025-02-01,2025-02-01,6.62,37.03,2,21.25
7452,7,VSL-8967,2025-12-06,2025-12-06,0.87,20.41,3,76.56
7453,8,VSL-3947,2024-11-21,2024-11-21,0.3,36.07,2,27.09
7454,9,VSL-3344,2024-03-30,2024-03-30,1.36,40.57,3,25.16
7455,6,VSL-5161,2025-06-18,2025-06-18,0.65,20.27,2,68.07
7456,12,VSL-4548,2024-12-07,2024-12-07,1.3,35.68,2,77.93
7457,10,VSL-2086,2024-09-04,2024-09-04,3.95,46.07,3,56.38
7458,12,VSL-9479,2025-03-04,2025-03-04,0.1,41.51,5,73.74
7459,7,VSL-9453,2025-06-10,2025-06-10,0.27,47.26,4,4.86
7460,4,VSL-5470,2025-08-18,2025-08-18,0.09,19.11,5,62.75
7461,8,VSL-3353,2025-05-02,2025-05-02,13.94,16.43,4,35.13
7462,6,VSL-1476,2025-09-25,2025-09-25,3.87,41.04,1,60.31
7463,1,VSL-9592,2025-02-13,2025-02-13,0.61,27.18,3,29.93
7464,1,VSL-6432,2024-06-01,2024-06-01,0.16,11.72,3,47.8
7465,10,VSL-5923,2025-08-28,2025-08-28,0.89,44.05,5,71.05
7466,4,VSL-1702,2024-05-26,2024-05-26,2.17,31.38,2,40.55
7467,3,VSL-9448,2024-11-13,2024-11-13,6.07,38.71,1,55.24
7468,12,VSL-6590,2024-05-27,2024-05-27,10.37,25.31,1,50.77
7469,2,VSL-9349,2025-10-23,2025-10-23,0.43,23.84,2,73.66
7470,1,VSL-3706,2024-10-26,2024-10-26,1.11,38.62,5,19.11
7471,9,VSL-8800,2024-01-12,2024-01-12,0.62,28.22,4,61.32
7472,2,VSL-8060,2024-02-28,2024-02-28,1.04,25.07,4,40.33
7473,9,VSL-4929,2024-10-29,2024-10-29,0.21,29.7,4,33.64
7474,8,VSL-4591,2024-09-21,2024-09-21,2.01,8.05,3,52.81
7475,1,VSL-6799,2024-05-26,2024-05-26,0.28,8.96,3,39.85
7476,4,VSL-6824,2026-01-03,2026-01-03,0.45,8.96,4,23.18
7477,6,VSL-6591,2024-06-28,2024-06-28,1.07,16.84,2,65.5
7478,11,VSL-3231,2025-07-13,2025-07-13,2.69,45.02,5,67.17
7479,12,VSL-9221,2024-06-02,2024-06-02,1.5,21.03,4,30.47
7480,9,VSL-9903,2026-01-24,2026-01-24,1.64,12.13,1,94.12
7481,6,VSL-7759,2024-05-11,2024-05-11,3.28,28.91,1,35.55
7482,1,VSL-4054,2025-05-26,2025-05-26,0.05,26.89,4,58.82
7483,6,VSL-8177,2024-11-04,2024-11-04,1.95,12.21,2,45.59
7484,3,VSL-9624,2024-04-23,2024-04-23,0.97,17.6,2,22.87
7485,4,VSL-5844,2025-11-23,2025-11-23,1.33,25.85,4,38.86
7486,11,VSL-5697,2024-08-27,2024-08-27,4.24,43.16,3,37.23
7487,10,VSL-4151,2025-12-27,2025-12-27,0.64,37.21,3,28.23
7488,10,VSL-4071,2025-06-03,2025-06-03,0.29,21.49,4,49.96
7489,8,VSL-3533,2024-02-07,2024-02-07,0.92,41.52,5,43.35
7490,5,VSL-8190,2024-04-27,2024-04-27,0.15,27.67,3,30.75
7491,10,VSL-6039,2024-02-03,2024-02-03,1.14,31.04,1,44.54
7492,8,VSL-1043,2025-01-23,2025-01-23,4.08,8.99,1,33.21
7493,11,VSL-4614,2025-08-01,2025-08-01,7.88,33.73,2,45.63
7494,11,VSL-1436,2024-12-26,2024-12-26,2.89,22.71,5,73.56
7495,2,VSL-1723,2024-05-05,2024-05-05,5.71,19.94,3,17.65
7496,2,VSL-3150,2024-05-25,2024-05-25,2.97,40.51,3,58.99
7497,3,VSL-1807,2025-07-10,2025-07-10,2.31,37.87,2,56.62
7498,11,VSL-2909,2024-02-03,2024-02-03,0.31,10.76,1,60.14
7499,3,VSL-6774,2025-04-27,2025-04-27,1.64,20.31,4,70.58
7500,11,VSL-7425,2026-03-04,2026-03-04,3.93,15.43,1,35.4
7501,6,VSL-6981,2026-01-24,2026-01-24,2.2,16.24,2,94.16
7502,7,VSL-1325,2024-07-08,2024-07-08,0.37,14.13,2,52.51
7503,7,VSL-7453,2024-06-12,2024-06-12,0.68,40.55,5,29.24
7504,3,VSL-6725,2026-03-17,2026-03-17,11.81,27.83,1,79.53
7505,6,VSL-6143,2025-11-08,2025-11-08,0.26,39.41,4,75.97
7506,5,VSL-5167,2025-07-05,2025-07-05,0.26,16.35,5,62.28
7507,11,VSL-1082,2024-10-12,2024-10-12,6.11,15.02,1,73.15
7508,3,VSL-9365,2026-02-18,2026-02-18,1.68,44.01,5,4.89
7509,9,VSL-4120,2024-01-24,2024-01-24,2.49,38.38,3,78.84
7510,4,VSL-4656,2026-01-11,2026-01-11,0.57,41.18,5,33.45
7511,7,VSL-4855,2025-10-20,2025-10-20,0.73,27.35,3,45.83
7512,7,VSL-7046,2024-04-29,2024-04-29,1.3,26.55,5,39.36
7513,10,VSL-1311,2025-04-01,2025-04-01,3.34,23.67,1,62.55
7514,11,VSL-5393,2024-05-06,2024-05-06,3.6,44.32,1,44.18
7515,11,VSL-9326,2025-10-01,2025-10-01,4.08,44.47,2,90.9
7516,10,VSL-7371,2024-10-20,2024-10-20,0.46,38.26,3,54.5
7517,2,VSL-1309,2025-12-18,2025-12-18,1.18,39.83,5,74.46
7518,8,VSL-4473,2025-05-27,2025-05-27,0.99,31.22,5,30.56
7519,10,VSL-1888,2026-01-24,2026-01-24,0.24,27.55,4,43.68
7520,9,VSL-1270,2024-10-11,2024-10-11,0.66,26.37,5,62.03
7521,12,VSL-5887,2025-10-12,2025-10-12,3.09,17.97,4,49.96
7522,10,VSL-5584,2024-07-02,2024-07-02,3.23,40.09,4,61.07
7523,9,VSL-8353,2024-03-09,2024-03-09,3.95,9.69,1,41.9
7524,5,VSL-7580,2025-11-12,2025-11-12,0.01,32.74,4,89.4
7525,7,VSL-8749,2026-03-20,2026-03-20,0.11,23.35,4,1.0
7526,4,VSL-8872,2025-10-05,2025-10-05,4.66,16.84,5,92.24
7527,6,VSL-1004,2026-03-19,2026-03-19,0.62,30.5,3,54.29
7528,1,VSL-6888,2024-05-01,2024-05-01,8.42,10.36,5,31.51
7529,8,VSL-3124,2024-04-04,2024-04-04,6.5,32.82,1,62.42
7530,1,VSL-4890,2024-11-17,2024-11-17,2.84,13.47,4,74.19
7531,11,VSL-2849,2024-11-26,2024-11-26,1.83,12.51,4,66.56
7532,11,VSL-9454,2025-05-31,2025-05-31,1.33,23.91,2,66.05
7533,7,VSL-4570,2025-11-08,2025-11-08,2.79,21.48,1,41.24
7534,7,VSL-3778,2026-03-29,2026-03-29,0.16,45.66,2,32.0
7535,1,VSL-6543,2026-02-28,2026-02-28,0.31,22.09,3,59.91
7536,10,VSL-1967,2024-02-28,2024-02-28,1.47,43.28,2,33.34
7537,9,VSL-5748,2025-01-13,2025-01-13,0.2,34.42,3,41.89
7538,2,VSL-9951,2025-06-04,2025-06-04,1.13,39.07,1,34.02
7539,2,VSL-8418,2026-02-14,2026-02-14,4.09,14.89,4,36.14
7540,10,VSL-4078,2024-10-25,2024-10-25,1.9,28.0,2,61.53
7541,10,VSL-9045,2025-07-28,2025-07-28,1.72,41.92,2,41.75
7542,12,VSL-9051,2024-05-03,2024-05-03,0.7,18.56,3,42.5
7543,8,VSL-2728,2025-05-26,2025-05-26,2.53,27.25,5,63.32
7544,12,VSL-2018,2024-03-09,2024-03-09,1.84,38.63,3,66.44
7545,2,VSL-3760,2024-08-22,2024-08-22,0.93,19.34,3,28.58
7546,2,VSL-2534,2025-07-15,2025-07-15,1.07,7.08,4,69.32
7547,4,VSL-2278,2024-06-16,2024-06-16,3.43,22.3,5,55.55
7548,3,VSL-8344,2026-02-26,2026-02-26,1.08,39.01,2,34.54
7549,7,VSL-6083,2024-11-29,2024-11-29,0.46,12.29,1,42.87
7550,10,VSL-4212,2024-04-13,2024-04-13,4.81,44.83,3,57.24
7551,8,VSL-2708,2025-10-04,2025-10-04,3.16,12.35,1,59.3
7552,10,VSL-1244,2026-02-02,2026-02-02,3.51,45.25,5,24.0
7553,4,VSL-7915,2025-06-20,2025-06-20,3.84,22.84,5,67.48
7554,11,VSL-2154,2025-07-02,2025-07-02,0.19,22.05,4,49.77
7555,8,VSL-3585,2025-02-26,2025-02-26,0.01,27.81,4,81.79
7556,8,VSL-7952,2025-11-22,2025-11-22,0.02,29.5,2,77.71
7557,7,VSL-7950,2025-04-20,2025-04-20,1.19,20.43,1,39.29
7558,11,VSL-8601,2025-04-08,2025-04-08,0.71,40.84,2,56.4
7559,7,VSL-1256,2024-08-14,2024-08-14,1.43,18.07,3,71.38
7560,9,VSL-5066,2024-02-07,2024-02-07,2.29,31.18,5,32.66
7561,4,VSL-2529,2025-08-03,2025-08-03,0.77,47.51,1,92.25
7562,3,VSL-1855,2025-05-26,2025-05-26,3.01,35.03,2,66.85
7563,4,VSL-6888,2025-01-16,2025-01-16,0.2,11.86,3,55.32
7564,2,VSL-6443,2024-08-07,2024-08-07,1.72,44.42,1,55.05
7565,8,VSL-1246,2025-08-22,2025-08-22,1.26,11.91,2,72.32
7566,12,VSL-9190,2025-08-27,2025-08-27,1.54,45.58,5,42.02
7567,11,VSL-1522,2024-02-27,2024-02-27,1.69,41.43,5,26.91
7568,11,VSL-1166,2026-01-16,2026-01-16,3.92,14.67,1,50.47
7569,3,VSL-4683,2025-12-03,2025-12-03,1.54,8.96,1,63.69
7570,6,VSL-8440,2024-03-23,2024-03-23,0.3,23.0,5,63.2
7571,12,VSL-8206,2024-10-23,2024-10-23,0.14,11.27,2,59.46
7572,6,VSL-5195,2025-06-26,2025-06-26,0.51,36.07,5,52.03
7573,8,VSL-5106,2026-03-25,2026-03-25,0.24,38.61,1,63.94
7574,8,VSL-8457,2025-10-10,2025-10-10,1.64,47.32,1,1.62
7575,6,VSL-1930,2025-06-03,2025-06-03,0.16,39.59,5,48.28
7576,5,VSL-2013,2024-04-27,2024-04-27,1.27,7.82,4,55.29
7577,12,VSL-5387,2024-03-20,2024-03-20,3.6,27.82,5,42.02
7578,11,VSL-2286,2025-09-06,2025-09-06,1.09,33.19,1,59.9
7579,11,VSL-2714,2025-11-25,2025-11-25,0.98,25.65,5,52.8
7580,11,VSL-2785,2024-02-07,2024-02-07,0.77,17.65,3,56.82
7581,2,VSL-5206,2024-09-01,2024-09-01,1.19,24.16,4,65.6
7582,6,VSL-4003,2024-12-20,2024-12-20,0.21,17.73,3,79.3
7583,5,VSL-5942,2025-01-08,2025-01-08,0.32,19.45,2,36.11
7584,10,VSL-4217,2024-12-24,2024-12-24,1.42,29.83,4,58.7
7585,4,VSL-1312,2025-06-10,2025-06-10,3.56,26.47,4,70.49
7586,9,VSL-1023,2024-09-27,2024-09-27,0.44,25.35,5,72.91
7587,11,VSL-7436,2025-02-28,2025-02-28,6.2,42.12,1,41.98
7588,7,VSL-8953,2025-03-14,2025-03-14,2.45,22.9,1,67.17
7589,12,VSL-5489,2024-08-04,2024-08-04,0.66,25.17,1,69.96
7590,10,VSL-4540,2024-10-09,2024-10-09,2.2,43.18,5,41.93
7591,1,VSL-2243,2024-01-19,2024-01-19,5.84,38.34,1,18.57
7592,5,VSL-5218,2025-01-27,2025-01-27,2.0,8.77,1,27.06
7593,7,VSL-2405,2024-04-20,2024-04-20,2.02,37.48,1,75.86
7594,2,VSL-5591,2025-10-05,2025-10-05,3.71,24.27,2,46.89
7595,10,VSL-2605,2026-02-17,2026-02-17,0.06,12.62,5,54.22
7596,3,VSL-4461,2025-01-08,2025-01-08,0.95,34.82,4,41.64
7597,11,VSL-6207,2025-11-06,2025-11-06,1.42,33.28,4,47.45
7598,4,VSL-2820,2025-07-21,2025-07-21,1.69,45.46,4,46.32
7599,10,VSL-9369,2025-12-31,2025-12-31,3.1,40.22,1,56.4
7600,4,VSL-2846,2024-02-04,2024-02-04,2.38,9.45,1,69.94
7601,4,VSL-2462,2024-06-25,2024-06-25,7.85,8.95,4,47.68
7602,9,VSL-2398,2024-05-06,2024-05-06,0.88,39.9,1,69.62
7603,9,VSL-6345,2025-09-26,2025-09-26,0.75,32.52,4,51.48
7604,2,VSL-5050,2026-01-20,2026-01-20,4.51,40.27,5,1.11
7605,8,VSL-6097,2026-01-13,2026-01-13,1.65,27.64,4,60.27
7606,12,VSL-1459,2026-03-01,2026-03-01,0.48,30.98,2,36.77
7607,5,VSL-8030,2024-09-30,2024-09-30,2.36,31.58,3,57.22
7608,3,VSL-3106,2025-11-14,2025-11-14,0.54,42.26,1,40.27
7609,6,VSL-7150,2025-07-15,2025-07-15,1.54,10.1,3,62.3
7610,11,VSL-8195,2024-01-08,2024-01-08,0.32,42.06,4,18.13
7611,3,VSL-8090,2024-08-11,2024-08-11,0.74,29.58,3,41.82
7612,9,VSL-6577,2026-01-13,2026-01-13,1.26,27.63,4,19.41
7613,2,VSL-9871,2024-12-22,2024-12-22,2.46,38.03,4,60.93
7614,9,VSL-2479,2025-09-18,2025-09-18,7.04,35.47,4,74.99
7615,7,VSL-5907,2024-08-10,2024-08-10,0.75,33.29,2,56.19
7616,1,VSL-5042,2025-12-12,2025-12-12,1.75,28.52,5,72.43
7617,3,VSL-5550,2024-11-06,2024-11-06,0.02,39.93,5,14.33
7618,6,VSL-8365,2025-08-17,2025-08-17,5.43,17.54,5,63.62
7619,6,VSL-6279,2025-05-24,2025-05-24,0.14,13.52,3,60.08
7620,8,VSL-2696,2025-03-15,2025-03-15,11.59,32.88,4,59.53
7621,7,VSL-8267,2024-07-11,2024-07-11,0.94,17.39,3,55.31
7622,6,VSL-5101,2024-10-22,2024-10-22,8.88,13.89,1,41.27
7623,3,VSL-4894,2024-04-30,2024-04-30,0.42,24.22,1,89.57
7624,7,VSL-1771,2025-07-19,2025-07-19,0.92,12.96,3,22.2
7625,3,VSL-9217,2026-01-12,2026-01-12,2.59,47.16,3,84.51
7626,3,VSL-2884,2024-02-12,2024-02-12,0.55,31.28,5,64.51
7627,12,VSL-5247,2024-10-13,2024-10-13,0.53,26.65,5,50.21
7628,11,VSL-3141,2024-08-09,2024-08-09,3.26,26.52,3,58.45
7629,11,VSL-3749,2024-06-21,2024-06-21,3.55,30.07,3,64.71
7630,9,VSL-8595,2025-08-09,2025-08-09,8.06,28.48,2,38.6
7631,11,VSL-5106,2025-06-23,2025-06-23,2.67,15.03,3,58.74
7632,3,VSL-1805,2026-03-20,2026-03-20,0.5,21.01,4,52.28
7633,1,VSL-9751,2025-04-30,2025-04-30,0.5,6.6,5,32.69
7634,9,VSL-3431,2026-03-17,2026-03-17,0.49,26.64,3,49.68
7635,8,VSL-7048,2025-06-03,2025-06-03,2.21,29.33,5,43.53
7636,3,VSL-4060,2025-07-17,2025-07-17,0.42,11.45,1,45.47
7637,12,VSL-8482,2025-03-03,2025-03-03,3.52,38.65,5,68.44
7638,5,VSL-7115,2024-10-17,2024-10-17,0.56,27.86,2,47.4
7639,1,VSL-5064,2025-02-21,2025-02-21,2.24,35.16,3,67.1
7640,3,VSL-2731,2025-09-26,2025-09-26,1.22,26.18,1,60.69
7641,7,VSL-5408,2025-08-15,2025-08-15,1.32,29.78,1,51.79
7642,3,VSL-9032,2025-12-03,2025-12-03,1.26,26.32,4,69.69
7643,7,VSL-6566,2025-11-09,2025-11-09,3.42,14.64,4,67.92
7644,10,VSL-5948,2026-02-17,2026-02-17,1.24,34.93,1,51.83
7645,12,VSL-2367,2024-02-23,2024-02-23,1.59,18.47,2,53.32
